speaker	original	traduit
1	Hi, how are you doing?	Bonjour, comment ça va ?
1	No.	C'est pas vrai.
2	It smells like somebody got sick or Victor something.	Ça sent comme si quelqu'un était malade ou Victor quelque chose.
1	Oh, it's a tissues the tissues with Vicks in them.	Oh, c'est un tissu que les tissus avec Vicks dedans.
1	I don't like them.	Je ne les aime pas.
2	Okay, you got a bunch of them?	D'accord, vous en avez un tas ?
1	I think I have some others.	Je crois que j'en ai d'autres.
2	What lotion do they make slime with cereal as well?	Quelle lotion font-ils slime avec des céréales aussi ?
2	Write something like that, you know shovel the snow as well.	Écris quelque chose comme ça, tu sais aussi peller la neige.
2	Let's see.	Voyons voir.
2	What did we talked about last time?	De quoi avons-nous parlé la dernière fois ?
2	It was quite significant, right?	C'était assez important, n'est-ce pas ?
2	Oh, yeah the need to protect my mom.	Oh, oui le besoin de protéger ma mère.
2	Well, I guess after that like if you feel you want to protect someone does that in your head make them feel or seem like the Catalyst.	Eh bien, je suppose qu'après ça, comme si tu voulais protéger quelqu'un fait ça dans ta tête pour qu'il se sente ou semble être le Catalyste.
2	I don't know if that is a connection that's mainly in my head or not.	Je ne sais pas si c'est une connexion qui est principalement dans ma tête ou pas.
2	It's funny like this didn't even occur to me until now that you know, why does she have to listen to all that view?	C'est drôle comme si ça ne m'était pas venu à l'esprit jusqu'à maintenant que tu sais, pourquoi elle doit écouter toute cette vue ?
2	Why couldn't why couldn't she have stood up for herself?	Pourquoi n'aurait-elle pas pu se défendre ?
2	And you know, I told him to shut up and you know last name, why does she keep you know, I don't know what you know kind of general and everyone feels and what is peculiar to me and I should think of getting rid of of thinking differently about I guess, you know, everyone would want to everyone was so protective about their parents in the people that love but I guess I my case it feels I guess it feels helpless maybe and I don't really trust her to do things for herself.	Et vous savez, je lui ai dit de la fermer et vous savez nom de famille, pourquoi elle vous tient au courant, je ne sais pas ce que vous savez genre de général et tout le monde ressent et ce qui est particulier pour moi et je devrais penser à me débarrasser de penser différemment à je suppose, vous savez, tout le monde voudrait à tout le monde était si protecteur de leurs parents dans les gens qui aiment mais je suppose que je pense que mon cas me sent impuissant peut-être et je ne lui fais pas vraiment confiance pour faire des choses pour elle-même.
2	I don't know and when she does do something by ourselves, then you know, I'm pleasantly surprised.	Je ne sais pas et quand elle fait quelque chose par elle-même, alors vous savez, je suis agréablement surpris.
2	Well, you don't need my help.	Vous n'avez pas besoin de mon aide.
2	That's a really I guess it's just like how a parent feels when they're bringing up a child.	Je suppose que c'est comme ce que ressent un parent quand il élève un enfant.
2	Finally.	Enfin.
2	She went to the potty by herself or something like that.	Elle est allée au pot par elle-même ou quelque chose comme ça.
1	Yeah, but that assumes that the child will develop into an independent adults.	Oui, mais cela suppose que l'enfant deviendra un adulte indépendant.
2	What I probably assume that.	Ce que je suppose probablement.
1	with your mother	avec ta mère
2	Yeah.	Oui.
1	What is the mechanism in which by what she'll change?	Quel est le mécanisme dans lequel elle changera par ce qu'elle changera ?
2	What do you mean?	Qu'est-ce que tu veux dire ?
1	Well, why do you assume that the way your mother is now won't be the way she'll be in the future.	Eh bien, pourquoi pensez-vous que la façon dont votre mère est maintenant ne sera pas la façon dont elle sera dans le futur.
2	I suppose I let you know we're all we're both in a trajectory of growth or you know, trying to achieve something and she with her teaching license and me with that, you know, like writing themselves.	Je suppose que je vous fais savoir que nous sommes tous les deux dans une trajectoire de croissance ou vous savez, en essayant d'atteindre quelque chose et elle avec sa licence d'enseignement et moi avec ça, vous savez, comme écrire eux-mêmes.
2	So I feel like both of us will you know, she will, you know, eventually get the lay of the land or something in order to not yeah, maybe that makes me think that you know, she's on a trajectory of changed the most people think otherwise, they think that this is where we are.	Donc j'ai l'impression que vous savez tous les deux, qu'elle finira par avoir la lie de la terre ou quelque chose pour ne pas oui, peut-être que cela me fait penser que vous savez, qu'elle est sur une trajectoire de changement de la plupart des gens pensent autrement, ils pensent que c'est là que nous sommes.
2	This is how it will always be you or	C'est comme ça que ce sera toujours toi ou
1	It depends on the person.	Ça dépend de la personne.
2	Yeah.	Oui.
1	And yes, and because you're growing and changing and reflecting on your life and thinking about you know, how you want to grow that you know, your mom won't because you see that she that the two of you as so low tide.	Et oui, et parce que tu grandis, que tu changes et que tu réfléchis à ta vie et que tu penses à ce que tu sais, comment tu veux grandir que tu sais, ta mère ne le fera pas parce que tu vois qu'elle que vous deux comme une marée si basse.
2	Maybe yeah, when was the reflection of the other may be enough for myself?	Peut-être que oui, quand est-ce que le reflet de l'autre peut me suffire ?
2	I want to change and I want things and go on to achieve certain things and I'm hoping you know those achievements will make me more positive more confident person to have your person.	Je veux changer et je veux des choses et continuer à réaliser certaines choses et j'espère que vous savez que ces réalisations me rendront plus positive personne plus confiante d'avoir votre personne.
2	I guess I'm assuming and hoping for the same for my mom.	Je suppose que j'espère la même chose pour ma mère.
2	I just asked the way I think of it me.	J'ai juste demandé comment j'y pensais.
2	A work-in-progress.	Un travail en cours.
2	Yeah, it's you know, I mean, I think that's the word transition and it's because we're here and you know immigrants I kind of I don't know if I would have felt as an Indian.	Je crois que c'est le mot transition et c'est parce qu'on est là et tu sais que les immigrants, je ne sais pas si j'aurais pu me sentir comme un Indien.
2	The thing is that adds to the sentiment patients that I have is myself mostly and my mom to just get there already perhaps I think that you are the only people who transitioning or trying to achieve something.	Le fait est que cela ajoute au sentiment des patients que j'ai, c'est surtout moi et ma mère pour y arriver déjà peut-être je pense que vous êtes les seules personnes qui sont en transition ou qui essaient d'atteindre quelque chose.
2	I think others already have it even though now I'm beginning to see but not feel that like, you know, they're already actually also trying to get somewhere.	Je pense que d'autres l'ont déjà même si maintenant je commence à voir, mais je ne sens pas que, tu sais, ils essaient déjà d'aller quelque part.
1	If it were true that everybody's already gotten so, you know gone to where they wanted.	S'il était vrai que tout le monde l'a déjà fait, vous savez où ils voulaient.
1	You would be my only patient.	Tu serais mon seul patient.
2	Really?	Vraiment ?
1	Well, don't you think people come to therapy?	Tu ne crois pas que les gens viennent en thérapie ?
1	Because they want to be something more than a different than they are now oils with people come.	Parce qu'ils veulent être quelque chose de plus qu'un autre qu'ils sont maintenant les huiles avec les gens viennent.
2	Probably everything people come to their depressing memes there in a place.	Probablement tout ce que les gens viennent à leurs mèmes déprimants là-bas dans un endroit.
2	They don't want to be changed his thoughts and feelings may be like situations.	Ils ne veulent pas être changés ses pensées et ses sentiments peuvent être comme des situations.
2	I guess.	Je crois.
2	I don't know why I feel like I should just you know without hard work and all of that just you know, make it magically and sensible.	Je ne sais pas pourquoi j'ai l'impression que je devrais juste savoir sans travailler dur et tout ça juste vous savez, rendre ça magique et raisonnable.
2	Oh, yes, and I don't know.	Oh, oui, et je ne sais pas.
2	I just don't understand why people are very positive.	Je ne comprends pas pourquoi les gens sont très positifs.
2	It's like why are you so why do you have such a good solid realistic Sans and why you get through yesterday?	C'est comme pourquoi es-tu donc pourquoi as-tu un si bon sans réaliste solide et pourquoi tu t'en sors hier ?
2	I went to school and had to meet the professor.	Je suis allé à l'école et j'ai dû rencontrer le professeur.
2	My professor is a writer.	Mon professeur est écrivain.
2	How do you say very teacher good teacher writing, but if only I could get him to focus.	Comment dites-vous très prof bon professeur d'écriture, mais si seulement je pouvais l'amener à se concentrer.
2	I think I could learn something from him.	Je pense que je pourrais apprendre quelque chose de lui.
2	He kind of asked me about my background and I really didn't want to share and after I told him no, I mean a little bit	Il m'a en quelque sorte interrogé sur mes antécédents et je ne voulais vraiment pas partager et après lui avoir dit non, je veux dire un peu
2	Oh, I think I could learn something from him.	Je pense que je pourrais apprendre quelque chose de lui.
