speaker	original	traduit
1	Sorry, I'm late.	Désolé, je suis en retard.
2	That's okay.	C'est bon.
2	Things are not too good.	Les choses ne sont pas trop bonnes.
2	I don't know what to do.	Je ne sais pas quoi faire.
2	I don't know.	Je ne sais pas.
2	I keep thinking things will get better things.	Je continue à penser que les choses vont aller mieux.
2	Just don't get better.	Ne t'améliore pas.
2	So	Alors
1	Let me change the subject and ask you something trivial because otherwise I'm going to immediately forget about it which a scheduling question.	Permettez-moi de changer le sujet et de vous demander quelque chose de trivial, sinon je vais immédiatement l'oublier quelle question d'horaire.
1	Could you switch least for awhile to 9:15 from 8:30 on Wednesday?	Pourriez-vous passer du moins un moment à 9h15 à partir de 8h30 le mercredi ?
2	yes.	Oui.
1	Okay.	Très bien.
1	Alright.	Très bien.
1	What's happened since last night?	Que s'est-il passé depuis hier soir ?
2	Not much.	Pas beaucoup.
2	I don't know I think a lot about killing myself and I'm not sure I have the courage.	Je ne pense pas beaucoup à me tuer et je ne suis pas sûr d'avoir le courage.
1	To do it or not to do it.	Pour le faire ou pour ne pas le faire.
2	to do it	pour le faire
2	Yeah.	Oui.
2	Yeah, that's one way out.	Oui, c'est une sortie.
1	Well, I'm aware that there are sort of practical considerations, but for the moment, let's put those aside and do business as usual as usual.	Je sais qu'il y a des considérations pratiques, mais pour le moment, mettons celles-ci de côté et faisons les affaires comme d'habitude.
2	Okay.	Très bien.
1	Which will come back to them later today.	Ce qui leur reviendra plus tard aujourd'hui.
1	But yeah, I imagine you're telling me now both of your safety and about what's on your mind.	Mais oui, j'imagine que vous me dites maintenant à la fois votre sécurité et ce qui est dans votre esprit.
2	Yeah.	Oui.
2	It just seems like there's no good way out of this.	On dirait qu'il n'y a pas de bon moyen de s'en sortir.
1	Well, I have some thoughts.	J'ai quelques idées.
2	Okay.	Très bien.
1	The first is as usual.	Le premier est comme d'habitude.
