speaker	original	traduit
1	Sorry, I'm late.	Désolé, je suis en retard.
2	I was wondering if today was going to be the day that.	Je me demandais si aujourd'hui allait être ce jour-là.
2	What's that?	Qu'est-ce que c'est ?
1	If today was going to be the day that I was on time	Si aujourd'hui allait être le jour où j'étais à l'heure
2	Yeah.	Oui.
1	Good morning.	Bonjour.
2	Good morning.	Bonjour.
2	So Micah gave me a prescription for Adderall.	Micah m'a donné une ordonnance pour Adderall.
2	Wedge when I went to pick up they were out of and they were like, why don't you go to CVS and the other square and I'm at the one in this Square.	Wedge quand je suis allé chercher qu'ils étaient hors de et ils étaient comme, pourquoi ne pas aller à CVS et l'autre place et je suis à l'un dans cette place.
2	I was like, well, when are you going to get adderal in?	J'étais comme, eh bien, quand vas-tu te faire ajouter ?
2	This is Friday, I guess maybe Saturday.	On est vendredi, peut-être samedi.
2	I don't know.	Je ne sais pas.
2	And they said Tuesday because the pharmacist had to order it yesterday and then it would come in today after 8 p.m.	Et ils ont dit mardi parce que le pharmacien a dû l'ordonner hier et puis il serait venu aujourd'hui après 20 heures.
2	I'm like, well, I'm not going to take it until Monday anyway, so what's an extra day so I haven't started it yet.	Je ne vais pas le prendre avant lundi de toute façon, alors ce qui est un jour supplémentaire donc je ne l'ai pas encore commencé.
1	Gotcha.	J'ai compris.
2	Will probably start tomorrow.	Ça va probablement commencer demain.
1	So, how did the diagnostic process go?	Alors, comment s'est passé le processus de diagnostic ?
2	It was a series of questions a lot of questions.	C'était une série de questions beaucoup de questions.
1	Yeah.	Oui.
2	Aveeno mild moderate or severe or none at all, you know.	Aveeno doux modéré ou sévère ou aucun du tout, vous savez.
1	right	droite
2	And you know the hyperactivity none of that stuff registered but most everything else did.	Et vous savez l'hyperactivité, rien de tout ça n'a été enregistré, mais la plupart du reste l'ont fait.
2	I was kind of surprised that certain things that you know, I thought was me being organized that this test seems to suggest as a potential.	J'ai été un peu surpris que certaines choses que vous savez, je pensais que j'étais organisé que ce test semble suggérer comme un potentiel.
1	Like what?	Comme quoi ?
2	Like coming home and putting my wallet and my keys in the same spot every time so I don't lose them things like that.	Comme rentrer à la maison et mettre mon portefeuille et mes clés dans le même endroit à chaque fois pour que je ne les perde pas des choses comme ça.
2	And at the office if I don't put things in the spot if they're supposed to be I can't find them so you skip pissed off at Jess because she would lose her keys.	Et au bureau si je ne mets pas les choses sur place s'ils sont censés être je ne peux pas les trouver alors vous sautez en colère à Jess parce qu'elle perdrait ses clés.
