speaker	original	traduit
1	Good morning.	Bonjour.
2	Good morning.	Bonjour.
2	I had a good day yesterday.	J'ai passé une bonne journée hier.
2	It was feeling like spring maybe one day.	C'était comme au printemps, peut-être un jour.
2	It's feeling like spring but you know good enough.	C'est comme le printemps, mais tu en sais assez.
2	So I took the kids out to the playground.	Alors j'ai emmené les enfants à l'aire de jeux.
2	And they started packing her me thinks that moving could be really good.	Et ils ont commencé à l'emballer moi pense que le déménagement pourrait être vraiment bon.
2	I don't know.	Je ne sais pas.
2	back to waiting and seeing	retour à attendre et voir
2	I don't know enough what the options are.	Je ne sais pas assez quelles sont les options.
2	It occurred to me this morning that even if I had stayed at Brown and James had moved us here.	Il m'est apparu ce matin que même si j'étais resté à Brown et que James nous avait emménagés ici.
2	We would still be in this position at this point where I really didn't want to do a postdoc.	Nous serions encore dans cette position où je ne voulais vraiment pas faire de postdoc.
2	So I guess it's a little bit reassuring.	Donc je suppose que c'est un peu rassurant.
2	It would still be tough right now.	Ce serait encore dur en ce moment.
2	We are supposed to go to this party with most of James's friends grad school were in the Denver area this weekend.	Nous sommes censés aller à cette fête avec la plupart des amis de l'école de fin d'études de James étaient dans la région de Denver ce week-end.
2	Our car is still not running.	Notre voiture ne marche toujours pas.
2	So I don't know.	Donc je ne sais pas.
2	I think there's a commuter rail we can take but it's like an hour's Drive Away by the commuter rail.	Je pense qu'il y a un train de banlieue qu'on peut prendre mais c'est comme une heure de route près du train de banlieue.
1	It's out in.	C'est à l'intérieur.
2	Outwest.	De l'extérieur-ouest.
2	It's way out west onto I don't know.	C'est beaucoup plus à l'ouest que je ne sais pas.
2	I don't know but I did find out that Monica only wants me to come in for a couple 3 hours on Friday if that so that would be nice.	Je ne sais pas, mais j'ai découvert que Monica veut que je vienne seulement pour quelques 3 heures vendredi si c'était bien.
2	I have a tough time with the people from James is grad school program.	J'ai du mal avec les gens de James, c'est le programme scolaire.
2	It's just always sort of stressful.	C'est toujours stressant.
2	I like them.	Je les aime bien.
2	They're fine.	Ils vont bien.
2	We're just really different from me.	On est vraiment différents de moi.
2	Then I think well, they're also really different from James.	Alors je pense bien, ils sont aussi vraiment différents de James.
2	I don't know.	Je ne sais pas.
2	I think that was one of the things that was tough for James in Ohio get trouble finding people to talk to which is why it was so great.	Je pense que c'était l'une des choses qui a été difficile pour James en Ohio obtenir difficulté à trouver des gens à parler, c'est pourquoi c'était si grand.
2	When his friend from undergrad Tony and his wife Carrie were there because Cody is a poet he could talk to him.	Quand son ami de l'élève Tony et sa femme Carrie étaient là parce que Cody est un poète, il pouvait lui parler.
2	How do you sort of crazy in some ways I can never tell whether he believes ideas.	Comment est-ce que tu es fou d'une façon ou d'une autre je ne peux jamais dire s'il croit aux idées.
2	He's putting out there or whether it's more that he thinks the world would be more fun if it were true.	Il est en train de sortir ou si c'est plus qu'il pense que le monde serait plus amusant si c'était vrai.
2	And so he's just sort of hoping that they're true.	Et donc il espère juste qu'ils sont vrais.
2	I don't know.	Je ne sais pas.
2	I don't much easier time finding friends than James does and I don't know whether that's because I am I don't know better at finding people or less picky about the people that I want to be friends with or whether it's because I'm just positioned right in a way that James is not	Je ne suis pas plus facile à trouver des amis que James et je ne sais pas si c'est parce que je ne sais pas mieux à trouver des gens ou moins difficiles au sujet des gens avec lesquels je veux être ami ou si c'est parce que je suis juste positionnée d'une manière que James n'est pas
2	I don't know if the types of people who tend to do graduate degrees in chemistry are all that different from the types of people who tend to do graduate degrees in theology.	Je ne sais pas si les types de personnes qui ont tendance à faire des diplômes d'études supérieures en chimie sont tous différents des types de personnes qui ont tendance à faire des diplômes d'études supérieures en théologie.
2	It's not a difference.	Ce n'est pas une différence.
2	What I don't know if we did move.	Ce que je ne sais pas si on a déménagé.
2	This will be the first time that I moved to a new city where I didn't know anybody or didn't know more than a couple of people and wasn't already in some sort of graduate program or workplace or something to Anchor me.	Ce sera la première fois que j'ai déménagé dans une nouvelle ville où je ne connaissais personne ou ne connaissais pas plus que quelques personnes et n'étais pas déjà dans une sorte de programme d'études supérieures ou de travail ou quelque chose pour Anchor moi.
2	It doesn't make me anxious, but I feel like maybe it ought to.	Ça ne me rend pas anxieux, mais j'ai l'impression que ça devrait le faire.
2	I think that that could go really badly, but I can't get worried about that.	Je pense que ça pourrait mal tourner, mais je ne peux pas m'inquiéter pour ça.
2	I don't know.	Je ne sais pas.
