speaker	original	traduit
1	I thought I just saw the first few flakes.	Je croyais avoir vu les premiers flocons.
2	So it's snowing.	Donc il neige.
1	so it is	donc c'est
2	It's snowing.	Il neige.
2	Yeah, it's mostly been a bit cold and windy.	Oui, c'était un peu froid et venteux.
1	yeah.	Oui.
2	So yeah.	Alors oui.
2	I still have been feeling not really not feeling great.	Je ne me sens toujours pas vraiment bien.
2	I don't know.	Je ne sais pas.
2	She's like getting its kind of I was at a Sci-Fi convention a big Buckle sci-fi convention this weekend.	Elle est comme avoir son genre de j'étais à une convention de science-fiction un grand Buckle sci-fi convention ce week-end.
2	Did they explain my anxiety anxiety about how I had to stay with friends and	Est-ce qu'ils ont expliqué mon anxiété sur la façon dont je devais rester avec des amis et
1	Yeah, you had you had been I think hemming and hawing about whether you're going to or not.	Oui, tu l'avais été, je crois que tu vas ou non te dire si tu vas le faire.
2	Yeah, I ended up going and so the conventions at the hotel Westin Convention Center of like a big Weston and something like 3,000 people last time I went it was more like 2,000 dish in the plaza.	Ouais, j'ai fini par y aller et donc les conventions à l'hôtel Westin Convention Center de comme un grand Weston et quelque chose comme 3000 personnes la dernière fois que je suis allé c'était plus comme 2000 plats dans la place.
2	It was really intensely noisy and aggravating in that like there were lots of people in various costumes, which is usually very fun.	C'était vraiment intensément bruyant et aggravant en ce qu'il y avait beaucoup de gens en différents costumes, ce qui est généralement très amusant.
2	Like I like that but I was getting frustrated at people with big costumes or big costume Parts like walking in into the aisle or whacking into you said a lot of people were excited to see each other and shrieking all weekend.	Comme j'aime ça, mais je devenais frustré contre les gens avec de grands costumes ou de grands costumes Des parties comme entrer dans l'allée ou vous frapper a dit que beaucoup de gens étaient excités de se voir et de crier tout le week-end.
2	And then there was the drunk talking too loud in the elevators and just it was like over-stimulating isn't exactly describing it.	Et puis il y avait l'ivrogne qui parlait trop fort dans les ascenseurs et c'était comme si sur-stimuler ne le décrivait pas exactement.
2	It's like wow.	C'est comme wow.
2	Is there a lot of really kind of mildly annoying things usually really ramped up and in one space?	Y a-t-il beaucoup de choses très agaçantes en général, et dans un même espace ?
1	Way too much.	Bien trop.
2	Yes, like way and I wasn't really usually I'll start out at convention and be like all guys you're all over the top.	Oui, comme d'habitude et je n'étais pas vraiment d'habitude je vais commencer à la convention et être comme tous les gars que vous êtes partout au sommet.
2	But that's okay teenage girls and salad costumes.	Mais c'est bon pour les adolescentes et les costumes de salade.
2	That's great.	C'est génial.
1	In what?	Dans quoi ?
2	Dalek costumes from Doctor Who Daleks are these evil robots?	Les costumes de Dalek du Docteur Qui sont ces robots maléfiques ?
1	Okay.	Très bien.
2	It used to be that they could only move forward and backward on a flat tread stairs defeated them.	Avant, ils ne pouvaient avancer et reculer que sur un escalier plat.
2	And then in the new reboot, someone was like haha.	Et puis dans le nouveau redémarrage, quelqu'un était comme haha.
2	We'll go up the stairs and then they levitated one of the things that these cute little teenage girls.	On montera dans les escaliers et ils ont lévité l'une des choses que ces jolies petites adolescentes.
2	They were wearing like cute little prom dance dresses that look like the Dalek robots and I was like, oh that's cute, you know people do a lot of reinterpretations, which is usually fun, but I sort of never had that, LOL everyone's really jammed in and kind of crazy and annoying, but I still love you moment.	Ils portaient comme des robes de bal de promo qui ressemblent aux robots Dalek et j'étais comme, oh c'est mignon, tu sais les gens font beaucoup de réinterprétations, ce qui est généralement amusant, mais je n'ai jamais eu ça, LOL tout le monde est vraiment coincé et un peu fou et ennuyeux, mais je t'aime toujours moment.
2	I just sort of was oh my God, I hate everyone.	J'étais juste un peu mon Dieu, je déteste tout le monde.
