speaker	original	traduit
1	Come on Inn.	Allez Inn.
2	Morning.	Bonjour.
1	Morning.	Bonjour.
2	So I wrote a check for you and I forgot to bring it.	J'ai donc écrit un chèque pour toi et j'ai oublié de l'apporter.
2	So I'm very sorry about that.	Donc je suis vraiment désolé pour ça.
1	It's okay.	C'est bon.
2	So we ended the last session you sort of talked about Siri and what we're doing here in your construction of it.	Donc nous avons terminé la dernière session que vous avez en quelque sorte parlé de Siri et de ce que nous faisons ici dans votre construction de celui-ci.
2	So I'm that I do not have anything to say, but I guess I want to say thank you and I appreciated you talking about it.	Donc je suis que je n'ai rien à dire, mais je pense que je veux vous remercier et j'ai apprécié que vous en parliez.
2	It it it took me a few minutes after I left to sort of sort out my feelings, but I was very grateful for you to you were talking about it just it was it was interesting and also comforting and sort of reassuring.	Il m'a fallu quelques minutes après mon départ pour régler mes sentiments, mais j'ai été très reconnaissante pour vous d'en parler, mais c'était intéressant et aussi réconfortant et rassurant.
2	Like you were saying that not only is it essentially okay that I interact with the world and a particular fashion, but it is necessary that we construct their use to make sense of our reality.	Comme vous disiez que non seulement c'est essentiellement correct que j'interagisse avec le monde et une mode particulière, mais il est nécessaire que nous construisions leur utilisation pour donner un sens à notre réalité.
2	I also felt like you were sort of I don't want to say casually dismissive of like particular strengths of theory and I like that and anyone who is an expert at something.	J'ai aussi eu l'impression que tu étais un peu comme je ne veux pas dire dédaigneux comme des forces particulières de la théorie et j'aime cela et quiconque est un expert à quelque chose.
2	It's nice because it's sort of I mean, I got bogged down and sort of questioning everything.	C'est sympa parce que c'est un peu comme ça, j'ai été encombré et en quelque sorte interrogé tout.
2	That's not always necessary.	Ce n'est pas toujours nécessaire.
2	That's nice.	C'est bien.
1	when you say casually dismissive of	quand vous dites dédaigneux involontairement de
2	I so you started said that you know that Psychotherapy gets a bad rep and deservedly so we're focusing too much on everything comes from your childhood.	J'ai donc commencé à dire que tu sais que la psychothérapie a une mauvaise réputation et qu'on se concentre trop sur tout ce qui vient de ton enfance.
2	But then you go to develop the second order of theory of it's important but it's important because of the way you construct Lincoln trucks theory is about how one exists and continues to do so your time.	Mais alors vous allez développer le deuxième ordre de théorie de c'est important, mais c'est important à cause de la façon dont vous construisez la théorie des camions Lincoln est sur la façon dont on existe et continue de le faire votre temps.
2	So but you know that sort of casually dismissive of that string theory	Donc, vous savez ce genre de mépris occasionnel de cette théorie des cordes
2	Oh.	Oh, c'est ça.
1	Oh not even casually.	Même pas de façon occasionnelle.
2	Sorry, I meant offhandedly.	Désolé, je voulais dire offensé.
1	taken	pris
2	but fair enough	mais assez juste
