speaker	original	traduit
1	He said that a balance that I I have new that's incorrect, but it turns out it was more like my bill cross your thing your check kind of thing.	Il a dit qu'un équilibre que j'ai nouveau c'est incorrect, mais il s'avère que c'était plus comme si ma facture vous traversait le truc de votre chèque.
2	Yeah, I think so.	Oui, je crois.
2	Yeah.	Oui.
1	So yeah.	Alors oui.
1	Sure.	Bien sûr.
2	I'm not doing so well continuing to not do well pretty crappy to I don't I'm supposed to go to dinner after this.	Je ne vais pas si bien continuer à ne pas bien faire assez merdique à je ne suis pas censé aller dîner après ça.
2	I guess I'll see how it goes.	Je vais voir comment ça se passe.
2	All the time that I had for the blacked out this weekend for for caring for tutoring and also preparing researching for this talk during the week pretty much most of it but like staring blankly at it.	Tout le temps que j'ai eu pour le black out ce week-end pour s'occuper de tutorat et aussi préparer la recherche pour cette conférence pendant la semaine à peu près la plupart de cela mais comme regarder à blanc à elle.
2	So I've been doing a lot of that.	Donc j'ai fait beaucoup de ça.
2	I feel like I have some creep disease but like it doesn't look like it and that's something like every 5 or 10 minutes after I started decide not to kill myself that takes a lot of work.	J'ai l'impression d'être malade, mais ça n'a pas l'air d'être comme ça, et c'est quelque chose comme toutes les 5 ou 10 minutes après que j'ai commencé à décider de ne pas me tuer, ce qui prend beaucoup de travail.
1	Yeah.	Oui.
2	I become mad and	Je deviens fou et
2	I feel like I'm less concerned about how other people are going to feel about the things that say than I usually am which in itself is probably a good thing, but nobody seems to mind.	J'ai l'impression d'être moins préoccupé par la façon dont d'autres gens vont ressentir les choses qui disent que je suis habituellement ce qui est probablement une bonne chose en soi, mais personne ne semble s'en soucier.
1	But I can see in addition to that how it reflects your not doing well partly because of it sounds like you're saying.	Mais je peux voir en plus de cela comment il reflète votre pas bien en partie à cause de cela ressemble à ce que vous dites.
2	Yeah.	Oui.
1	But you feel more abandon.	Mais vous vous sentez plus abandonné.
2	Yeah.	Oui.
1	Correct.	C'est exact.
2	You mean abandoned abandoned, right?	Vous voulez dire abandonné abandonné, n'est-ce pas ?
1	Correct.	C'est exact.
2	Okay, that's what I thought.	C'est ce que je pensais.
1	Maybe you feel more been into but that's not what I had in mind.	Peut-être que tu te sens plus intéressé, mais ce n'est pas ce que j'avais en tête.
2	Yeah, it's not yeah.	Oui, ce n'est pas ça.
2	I don't know.	Je ne sais pas.
2	I'm	Je suis
2	I'm afraid of dying, but I think I'm more afraid of just continuing to be like this.	J'ai peur de mourir, mais je pense que j'ai plus peur de continuer à être comme ça.
2	You know just started frantically racing through my options.	Tu sais, j'ai commencé à courir frénétiquement à travers mes options.
2	And if I do this, then this will happen and if I do this, then this will happen then these are the things that might happen visible things that probably won't happen.	Et si je fais cela, alors cela arrivera et si je fais cela, alors cela arrivera alors ce sont les choses qui pourraient arriver des choses visibles qui ne se produiront probablement pas.
2	Like I just can't I can't come up with one where that doesn't keep.	Comme si je ne pouvais pas en trouver un là où ça ne tient pas.
2	You know that the best I can come up with is things get better for a while, which at this point is not so bad.	Tu sais que le mieux que je peux trouver, c'est que les choses s'améliorent pendant un moment, ce qui n'est pas si mal à ce stade.
2	I have lots of	J'ai beaucoup de
2	I feel like	Je me sens comme
2	I feel like the.	Je me sens comme ça.
2	Where I start thinking maybe this will just be over like maybe I won't have to feel this way and then it comes back.	Là où je commence à penser que ce sera peut-être fini comme si je n'aurais pas à me sentir comme ça et que ça reviendra.
2	I feel like that is really bad that it's the worst and so	J'ai l'impression que c'est vraiment mauvais que ce soit le pire et donc
1	surepoint the rug out	Surveillez le tapis.
2	Yeah.	Oui.
2	Somehow it still seems very important because we have to learn now that this is what my wife is occurring now.	D'une certaine manière, cela semble encore très important parce que nous devons apprendre maintenant que c'est ce que ma femme se passe maintenant.
2	I feel like the little things that might.	Je me sens comme les petites choses qui pourraient le faire.
1	you sounded worse me actually the last week.	Tu avais l'air pire que moi en fait la semaine dernière.
2	Yeah.	Oui.
1	At first when you said about feelings for your less dependent like putting stuff out there.	Au début, quand vous avez parlé de sentiments pour votre moins dépendant comme mettre des trucs là-bas.
1	I wasn't sure.	Je n'étais pas sûr.
1	In a way good thing coming from it.	D'une certaine façon, c'est une bonne chose.
2	I don't care.	Je m'en fiche.
1	We talked about last time it doesn't seem that way as we talked more.	On a parlé de la dernière fois, ce n'est pas comme ça qu'on a parlé.
1	It seems like you don't care in the way that even when you're feeling pretty bad.	On dirait que tu t'en fous, même quand tu te sens mal.
1	You generally still do.	D'une manière générale, tu le fais toujours.
2	It's really bad.	C'est vraiment mauvais.
2	I mean it gets worse than this but not	Je veux dire que ça devient pire que ça mais pas
2	that much worse.	C'est bien pire.
1	Yeah, I haven't forgot.	Oui, je n'ai pas oublié.
1	I'm just I'm trying to remember the last time it was like this.	J'essaie juste de me souvenir de la dernière fois que c'était comme ça.
1	It's been awhile.	Ça fait un moment.
